kind,building,section,area,mode,activity,frequency
bundle_item,,,Terrazzo Maintenance and Floor Care,,"Sweep and Mop Terrazzo Floor",2/1
bundle_item,,,Terrazzo Maintenance and Floor Care,,"Buff Terrazzo Floor",3/5
bundle_item,,,Terrazzo Maintenance and Floor Care,,"Polish Terrazzo Floor",1/120
bundle_item,,,Terrazzo Maintenance and Floor Care,,"Strip Terrazzo",1/120
bundle_item,,,Terrazzo Maintenance and Floor Care,,"Seal Terrazzo",1/120
task,Air Terminal Building (ATB),,Restrooms,,"Clean and sanitize Hand Basin & Sinks",1/15min
task,Air Terminal Building (ATB),,Restrooms,,"Clean and sanitize Toilet Bowls & Urinals",1/15min
task,Air Terminal Building (ATB),,Restrooms,,"Clean and sanitize stall doors / partitions",2/5
task,Air Terminal Building (ATB),,Restrooms,,"Clean and Refill Soap Dispensers",1/15min
task,Air Terminal Building (ATB),,Restrooms,,"Clean Mirrors",1/15min
task,Air Terminal Building (ATB),,Restrooms,,"Empty Bins/Dispose of Litter",4/1
task,Air Terminal Building (ATB),,Restrooms,,"Sweep and Mop Floors",2/1
task,Air Terminal Building (ATB),,Restrooms,,"Spot clean walls and light switches",1/5
task,Air Terminal Building (ATB),,Restrooms,,"Cobweb Ceiling",1/30
task,Air Terminal Building (ATB),,Restrooms,,"Wipe & disinfect baby changing tables",2/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Empty Bins/Dispose of Litter",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Clean and sanitize chairs, tables and telephones",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Sweep and mop floors",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Vacuum carpets and rugs",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Vacuum upholstered furniture",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Wipe Glass doors and windows",2/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Spot clean walls and light switches",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Cobweb Ceilings",1/60
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Deep clean carpets",1/90
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Wipe walls & ledges",1/90
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Interior / exterior window washing",1/90
bundle_ref,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Reception Area,,"Terrazzo Maintenance and Floor Care",
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Empty Bins/Dispose of Litter",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Clean and sanitize chairs, tables and telephones",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Sweep and mop floors",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Clean Glass windows and doors",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Spot clean walls and light switches",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Spot clean / vacuum carpets, rugs and floor mats",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Wipe Walls",1/90
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Training / Conference Rooms,,"Cobweb Ceilings",1/60
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Empty Bins/Dispose of Litter",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Clean and sanitize chairs, tables and telephones",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Sweep and mop floors",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Clean Glass Doors & Windows",2/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Spot clean walls and light switches",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Cobweb Ceilings",1/60
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Wipe walls & ledges",1/90
bundle_ref,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Administrative Wing Offices,,"Terrazzo Maintenance and Floor Care",
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Security Offices,,"Empty Bins/Dispose of litter",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Security Offices,,"Clean and sanitize chairs, tables and telephones",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Security Offices,,"Clean Glass Doors & Windows",2/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Security Offices,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Security Offices,,"Spot clean walls and light switches",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Security Offices,,"Cobweb Ceilings",1/60
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Security Offices,,"Wipe walls & ledges",1/90
bundle_ref,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Security Offices,,"Terrazzo Maintenance and Floor Care",
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Empty Bins/Dispose of Litter",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Clean and sanitize chairs, tables and telephones",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Sweep and Mop floors",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Clean Windows & Doors",2/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Spot clean walls and light switches",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Cobweb Ceilings",1/60
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Wipe walls & ledges",1/90
bundle_ref,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Maintenance - Air-Condition & Electrical Offices,,"Terrazzo Maintenance and Floor Care",
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Empty Bins/Dispose of Litter",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Clean and sanitize chairs, tables and telephones",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Sweep and mop floor (tiles)",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Clean windows and doors",2/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Spot clean wall and light switches",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Cobweb Ceilings",1/60
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Immigration & Passport Office & Lunchroom,,"Wipe walls & ledges",1/90
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Customs & Excise Office & Lunchroom,,"Empty Bins/Dispose of Litter",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Customs & Excise Office & Lunchroom,,"Clean and sanitize Chairs, tables and telephones",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Customs & Excise Office & Lunchroom,,"Clean lunchroom countertops",1/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Customs & Excise Office & Lunchroom,,"Dust high surfaces (ledges, partitions, top of shelves)",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Customs & Excise Office & Lunchroom,,"Spot clean walls and light switches",1/5
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Customs & Excise Office & Lunchroom,,"Spot clean / vacuum carpets, rugs and floor mats",2/1
task,Air Terminal Building (ATB),Meeting Rooms & Office Spaces,Customs & Excise Office & Lunchroom,,"Clean Glass Windows & Doors",1/30
