kind,route,route_name,shift,direction,day_type,depart,arrive,group_time,stop

trip,1,St. Patrick (Western Main Road),morning,inbound,daily,3:30 a.m.,5:30 a.m.,,
stop,,,,,,,,3:30 a.m.,St. Patrick's Anglican Primary School
stop,,,,,,,,3:30 a.m.,Victoria Police Station
stop,,,,,,,,3:30 a.m.,Gouyave
stop,,,,,,,,3:30 a.m.,Grand Roy
stop,,,,,,,,3:30 a.m.,Concord
stop,,,,,,,,4:45 a.m.,Beausejour
stop,,,,,,,,4:45 a.m.,Cherry Hill
stop,,,,,,,,4:45 a.m.,Mt. Rush
stop,,,,,,,,4:45 a.m.,River Road
stop,,,,,,,,4:45 a.m.,Melville Street
stop,,,,,,,,5:30 a.m.,MBIA

trip,1,St. Patrick (Western Main Road),morning,outbound,mon_sat,6:10 a.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Melville Street

trip,1,St. Patrick (Western Main Road),morning,outbound,sun_hol,6:15 a.m.,,,
stop,,,,,,,,,MBIA
stop,,,,,,,,,Grand Anse
stop,,,,,,,,,Lagoon Road
stop,,,,,,,,,Melville Street
stop,,,,,,,,,River Road
stop,,,,,,,,,Mt. Rush
stop,,,,,,,,,Cherry Hill
stop,,,,,,,,,Beausejour
stop,,,,,,,,,Concord
stop,,,,,,,,,Grand Roy
stop,,,,,,,,,Gouyave
stop,,,,,,,,,Victoria Police Station
stop,,,,,,,,,St. Patrick's Anglican Primary School

trip,1,St. Patrick (Western Main Road),afternoon,inbound,sun_hol,12:00 noon,2:00 p.m.,,
stop,,,,,,,,12:00 noon,St. Patrick's Anglican Primary School
stop,,,,,,,,12:00 noon,Victoria Police Station
stop,,,,,,,,12:00 noon,Gouyave
stop,,,,,,,,12:00 noon,Grand Roy
stop,,,,,,,,12:00 noon,Concord
stop,,,,,,,,1:15 p.m.,Beausejour
stop,,,,,,,,1:15 p.m.,Cherry Hill
stop,,,,,,,,1:15 p.m.,Mt. Rush
stop,,,,,,,,1:15 p.m.,River Road
