wxregister.csv  (23 rows, 36 of 52 columns populated)

img | #  | report_type | day | time_utc | station_id | wind_indicator | precip_indicator | station_wx_indicator | cloud_base | visibility | total_cloud | wind_dir | wind_speed | air_temp | dew_point | station_pressure | msl_pressure | pressure_tendency | pressure_change | precip_amount | present_wx | past_wx_1 | past_wx_2 | low_cloud_amount | low_cloud_type | mid_cloud_type | s3_state_of_sky | s3_cloud_dir_low | s3_cloud_dir_mid | s3_max_temp | s3_baro_change_24h | s3_rainfall_24h | s3_layer1_amount | s3_remarks                               | notes                                                                   
----+----+-------------+-----+----------+------------+----------------+------------------+----------------------+------------+------------+-------------+----------+------------+----------+-----------+------------------+--------------+-------------------+-----------------+---------------+------------+-----------+-----------+------------------+----------------+----------------+-----------------+------------------+------------------+-------------+--------------------+-----------------+------------------+------------------------------------------+-------------------------------------------------------------------------
d1  | 1  | AAXX        | 04  | 00       | 78758      | 4              |                  | 1                    | 2          | 5          | 78          | 208      | 10         | 260      | 207       |                  |              |                   |                 |               |            |           |           | 6                | 000            | 1              | 0               |                  |                  |             |                    |                 |                  | 31.2 25.8                                | Row largely illegible; values approximate. Right side shows 31.2 / 25.8.
d1  | 2  |             | 04  | 01       | 78758      | 4              | 2                | 5                    | 78         | 4          | 07          | 10       | 260        | 209      | 72        | 1014.2           | 1015.2       | 4                 | 0152            |               |            | 8         | 4         | 8                | 0              | 1              |                 |                  |                  |             |                    |                 |                  | 2.61                                     | Approximate; many cells faint.                                          
d1  | 3  |             | 04  | 02       | 78758      | 4              |                  |                      | 78         |            | 5           | 10       | 260        | 209      | 73        | 1015.2           | 1016.1       |                   |                 |               |            | 8         | 4         | 8                | 0              |                |                 |                  |                  |             | 15.000             |                 |                  | 2.62                                     | Approximate.                                                            
d1  | 4  | AAXX        | 04  | 03       | 78758      | 4              | 1                | 4                    | 67         | 3          | 10          | 260      | 10         | 229      | 71        | 0180             | 4            | 0160              |                 |               | 7          | 80        |           | 8                | 4              |                |                 |                  |                  |             |                    |                 | 8                | JP-NEE,S                                 | 555 line; approximate.                                                  
d1  | 5  |             | 04  | 04       | 78758      | 4              | 2                | 4                    | 65         | 6          | 07          | 00       | 10         | 247      | 30        | 223              | 87           |                   |                 |               |            | 7         | 7         | 8                | 5              |                |                 |                  |                  |             |                    |                 |                  | JP-NES,EN                                | Approximate.                                                            
d1  | 6  |             | 04  | 03       | 78758      | 4              | 1                | 4                    | 60         | 05         | 10          | 255      | 10         | 227      | 72        | 0157             | 4            | 0157              |                 |               |            | 5         | 8         | 8                | 4              |                |                 |                  |                  |             |                    |                 |                  | JP-NE,E                                  | Approximate.                                                            
d1  | 7  | AAXX        | 04  | 06       | 78758      | 4              | 1                | 4                    | 56         |            | 07          | 10       | 255        | 233      | 70        | 1013.3           | 1014.1       | 4                 | 0140            |               |            |           |           |                  |                |                |                 | 316              | 227              | 0006        |                    | 285             | 8                | JP-0516-12, JP-CM,W, JP-W 22-48 264 23.4 | 555 line; remarks heavy; approximate.                                   
d1  | 8  |             | 04  | 02       | 78758      | 4              |                  |                      | 63         |            | 05          | 00       | 337        | 244      | 126       | 3013.6           |              | 4                 | 0158            |               | 7          | 80        |           |                  |                |                |                 |                  |                  |             |                    |                 |                  | MN 0644-35                               | Approximate.                                                            
d1  | 9  |             | 00  | 04       | 78758      | 4              | 1                | 4                    | 65         | 08         | 00          | 10       | 033        | 234      | 86        | 3013.6           |              | 4                 | 0153            |               | 305        |           |           | 8                | 5              | 8              |                 |                  |                  |             | 234.000            |                 |                  |                                          | Day reads 00 uncertainty; approximate.                                  
